country,year,gdp_millions,population,fossil_share_energy,fossil_share_elec,biofuel_consumption,biofuel_share_energy,solar_consumption,solar_share_energy,wind_consumption,wind_share_energy,hydro_consumption,hydro_share_energy,nuclear_consumption,nuclear_share_energy,other_renewable_consumption,other_renewables_share_energy,greenhouse_gas_emissions,energy_per_capita,primary_energy_consumption,per_capita_electricity,electricity_generation,green_energy_consumption,fossil_energy_consumption,renewable_share_energy
Belarus,2020,0.0,9633745.0,98.658,95.552,0.158,0.055,0.446,0.156,0.486,0.169,1.051,0.366,0.852,0.297,0.856,0.298,17.09,29768.562,286.783,3757.625,36.2,2.997,282.934,1.0450410240495427
Belgium,2005,380849.783,10516979.0,81.837,40.892,0.0,0.0,0.003,0.0,0.65,0.086,0.825,0.109,130.778,17.296,5.076,0.671,21.49,71894.961,756.118,7996.593,84.1,6.553999999999999,618.787,0.8667959233876192
Belgium,2014,428582.863,11176727.0,80.387,35.283,4.801,0.738,7.819,1.201,12.503,1.921,0.792,0.122,87.616,13.461,14.126,2.17,15.32,58234.559,650.872,6347.118,70.94,40.041000000000004,523.214,6.1519008345726975
Belgium,2020,0.0,11561716.0,76.068,34.134,7.523,1.133,13.426,2.022,33.665,5.07,0.701,0.106,86.782,13.069,16.818,2.533,17.41,57433.73,664.032,7601.813,87.89,72.133,505.117,10.86288010216375
Belize,2005,0.0,280386.0,0.0,58.824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,9279.945,2.602,606.307,0.17,0.0,0.0,0.0
Belize,2014,0.0,352343.0,0.0,37.255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,9421.46,3.32,1447.453,0.51,0.0,0.0,0.0
Belize,2020,0.0,394931.0,0.0,61.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,7226.434,2.854,1569.895,0.62,0.0,0.0,0.0
Benin,2005,14703.566,8149420.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,1262.393,10.288,12.271,0.1,0.0,0.0,0.0
Benin,2014,21043.177,10614845.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,1940.265,20.596,20.726,0.22,0.0,0.0,0.0
Benin,2020,0.0,12643121.0,0.0,95.652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,2518.621,31.843,18.192,0.23,0.0,0.0,0.0
Bermuda,2005,0.0,62980.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44480.98,2.801,0.0,0.0,0.0,0.0,0.0
Bermuda,2014,0.0,63375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46727.742,2.961,0.0,0.0,0.0,0.0,0.0
Bermuda,2020,0.0,64051.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46161.586,2.957,0.0,0.0,0.0,0.0,0.0
Bhutan,2005,0.0,663332.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,11119.834,7.376,3949.757,2.62,0.0,0.0,0.0
Bhutan,2014,0.0,736362.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,23328.471,17.178,9709.898,7.15,0.0,0.0,0.0
Bhutan,2020,0.0,772512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,26593.059,20.543,11585.58,8.95,0.0,0.0,0.0
Bolivia,2005,40332.39,9377395.0,0.0,49.254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43,5926.305,55.573,500.139,4.69,0.0,0.0,0.0
Bolivia,2014,63863.337,10916991.0,0.0,59.314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,7770.678,84.832,747.459,8.16,0.0,0.0,0.0
Bolivia,2020,0.0,11936169.0,0.0,58.793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.15,6540.533,78.069,819.358,9.78,0.0,0.0,0.0
Bosnia and Herzegovina,2005,32159.545,4094297.0,0.0,51.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.23,13151.445,53.846,2967.542,12.15,0.0,0.0,0.0
Bosnia and Herzegovina,2014,36520.342,3571070.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.01,19855.676,70.906,4340.436,15.5,0.0,0.0,0.0
Bosnia and Herzegovina,2020,0.0,3318410.0,0.0,68.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.97,19464.836,64.592,4737.208,15.72,0.0,0.0,0.0
Botswana,2005,17874.606,1892819.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,8948.104,16.937,427.933,0.81,0.0,0.0,0.0
Botswana,2014,32048.894,2260383.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.73,8513.395,19.244,960.014,2.17,0.0,0.0,0.0
Botswana,2020,0.0,2546404.0,0.0,99.515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.64,8843.107,22.518,808.984,2.06,0.0,0.0,0.0
Brazil,2005,2127880.913,186797344.0,56.437,9.997,85.189,3.307,0.0,0.0,0.266,0.01,966.278,37.505,27.079,1.051,43.551,1.69,36.34,13792.465,2576.396,2118.446,395.72,1095.2839999999999,1454.032,42.51225355108453
Brazil,2014,3128572.51,203459648.0,60.036,23.473,189.43,5.314,0.044,0.001,33.079,0.928,1011.683,28.383,39.978,1.122,150.286,4.216,102.06,17519.043,3564.418,2859.83,581.86,1384.5220000000002,2139.918,38.842862986327646
Brazil,2020,0.0,213196304.0,50.263,13.209,246.243,7.254,28.228,0.832,149.832,4.414,1041.012,30.669,35.415,1.043,187.516,5.524,72.15,15921.327,3394.368,2881.71,614.37,1652.8310000000001,1706.122,48.69333554876785
British Virgin Islands,2005,0.0,23522.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,23259.297,0.547,3826.205,0.09,0.0,0.0,0.0
British Virgin Islands,2014,0.0,29000.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,25639.906,0.744,6551.724,0.19,0.0,0.0,0.0
British Virgin Islands,2020,0.0,30934.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,19221.441,0.595,4202.496,0.13,0.0,0.0,0.0
Brunei,2005,0.0,366728.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.15,92130.18,33.787,8371.326,3.07,0.0,0.0,0.0
Brunei,2014,0.0,416670.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.18,106339.25,44.308,10175.918,4.24,0.0,0.0,0.0
Brunei,2020,0.0,441736.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,125303.023,55.351,9960.7,4.4,0.0,0.0,0.0
Bulgaria,2005,91870.126,7815221.0,73.037,47.758,0.0,0.0,0.0,0.0,0.014,0.006,12.419,5.258,51.253,21.699,0.0,0.0,16.86,30223.08,236.2,5621.083,43.93,12.433,172.514,5.263759525825572
Bulgaria,2014,115783.074,7372142.0,70.397,50.426,1.261,0.596,3.404,1.609,3.605,1.704,12.466,5.893,41.248,19.498,0.641,0.303,19.09,28695.912,211.55,6364.5,46.92,21.376999999999995,148.925,10.10493973056015
Bulgaria,2020,0.0,6979181.0,67.016,40.08,1.973,1.01,3.857,1.974,3.879,1.986,7.407,3.791,41.9,21.446,5.425,2.777,13.17,27993.869,195.374,5762.854,40.22,22.541,130.933,11.537359116361442
Burkina Faso,2005,17737.646,13876134.0,0.0,79.592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,378.259,5.249,35.312,0.49,0.0,0.0,0.0
Burkina Faso,2014,25255.887,18169844.0,0.0,91.071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71,677.646,12.313,61.641,1.12,0.0,0.0,0.0
Burkina Faso,2020,0.0,21522632.0,0.0,87.195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,878.982,18.918,76.199,1.64,0.0,0.0,0.0
Burundi,2005,5144.959,7388869.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.987,1.079,12.18,0.09,0.0,0.0,0.0
Burundi,2014,7764.24,10494920.0,0.0,21.053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,196.128,2.058,18.104,0.19,0.0,0.0,0.0
Burundi,2020,0.0,12220229.0,0.0,31.429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,289.066,3.532,28.641,0.35,0.0,0.0,0.0
CIS (EI),2005,0.0,0.0,88.716,67.756,0.0,0.0,0.0,0.0,0.022,0.0,640.035,6.817,418.099,4.453,1.258,0.013,0.0,0.0,9388.296,0.0,1180.583,641.315,8328.883,6.831005328336475
CIS (EI),2014,0.0,0.0,89.561,69.306,0.288,0.003,0.481,0.005,0.34,0.003,599.102,5.799,476.312,4.61,2.032,0.02,0.0,0.0,10331.557,0.0,1337.935,602.243,9253.002,5.829160115943802
CIS (EI),2020,0.0,0.0,87.932,64.636,2.132,0.02,8.926,0.085,6.568,0.063,691.342,6.598,551.94,5.267,3.607,0.034,0.0,0.0,10478.531,0.0,1399.955,712.5749999999999,9214.016,6.800332985606474
Cambodia,2005,28450.984,13246588.0,0.0,95.556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,909.821,12.052,67.942,0.9,0.0,0.0,0.0
Cambodia,2014,45181.948,15210817.0,0.0,34.448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,2031.747,30.905,196.571,2.99,0.0,0.0,0.0
Cambodia,2020,0.0,16396864.0,0.0,45.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.26,3918.637,64.253,515.342,8.45,0.0,0.0,0.0
Cameroon,2005,40566.829,17275174.0,0.0,5.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,1456.898,25.168,228.652,3.95,0.0,0.0,0.0
Cameroon,2014,63390.306,22299590.0,0.0,34.933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.73,1941.542,43.296,299.109,6.67,0.0,0.0,0.0
Cameroon,2020,0.0,26491090.0,0.0,34.258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.12,1758.121,46.575,312.935,8.29,0.0,0.0,0.0
Canada,2005,1311262.9,32215914.0,65.114,24.862,1.99,0.052,0.049,0.001,4.488,0.118,1036.429,27.323,251.141,6.621,29.226,0.77,121.7,117744.773,3793.256,18825.166,606.47,1072.1820000000002,2469.933,28.265479577439546
Canada,2014,1552197.222,35404616.0,64.891,19.298,22.155,0.553,5.744,0.143,34.723,0.866,1036.234,25.856,276.951,6.91,31.268,0.78,93.88,113198.414,4007.746,17966.303,636.09,1130.124,2600.671,28.198493617110465
Canada,2020,0.0,37888704.0,62.711,16.375,23.299,0.612,11.242,0.295,93.928,2.467,1015.178,26.661,245.749,6.454,30.474,0.8,74.7,100497.281,3807.712,16471.4,624.08,1174.1209999999999,2387.842,30.835341538435678
Cape Verde,2005,2194.576,492841.0,0.0,95.652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,5685.298,2.802,466.682,0.23,0.0,0.0,0.0
Cape Verde,2014,3375.218,546083.0,0.0,78.049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,7077.256,3.865,750.802,0.41,0.0,0.0,0.0
Cape Verde,2020,0.0,582646.0,0.0,83.721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,6949.681,4.049,738.012,0.43,0.0,0.0,0.0
Cayman Islands,2005,0.0,46750.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,46092.508,2.155,8342.246,0.39,0.0,0.0,0.0
Cayman Islands,2014,0.0,59580.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,40977.293,2.441,10238.335,0.61,0.0,0.0,0.0
Cayman Islands,2020,0.0,67327.0,0.0,97.101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,41981.379,2.826,10248.488,0.69,0.0,0.0,0.0
